"gold_mining_area_nb100_150km","cd_mun","year","k12it_nb100_150km_2yrgp","q1i_nb100_150km_2yrgp","e1n1ac_nb100_150km_2yrgp","elm_nb100_150km_2yrgp","n_qi_nb100_150km_2yrgp","n_pct_nb100_150km_2yrgp","pp4ja_nb100_150km_2yrgp","np12x_nb100_150km_2yrgp","e_nb_nb100_150km_2yrgp","pp4_gamma_sr_nb100_150km_2yrgp","a3_gamma_ms_nb100_150km_2yrgp","a4pp1nv_nb100_150km_2yrgp","ap_pi_nb100_150km_2yrgp","np3fcb_nb100_150km_2yrgp","q2pa_nb100_150km_2yrgp","a3s_nb100_150km_2yrgp","q2a_nb100_150km_2yrgp","k2ut_nb100_150km_2yrgp","pp4r_nb100_150km_2yrgp","a4jg_nb100_150km_2yrgp","s_dat_nb100_150km_2yrgp","q1p2_nb100_150km_2yrgp","a4gu_nb100_150km_2yrgp","pp2_gamma_ca_nb100_150km_2yrgp","a3tu_nb100_150km_2yrgp","a3_gamma_xg_nb100_150km_2yrgp","n1dl_nb100_150km_2yrgp","a3av_nb100_150km_2yrgp","pp4_gamma_jsp_nb100_150km_2yrgp","mp1_gamma_p_nb100_150km_2yrgp","mp2_gamma_ac_nb100_150km_2yrgp","pp3_gamma_p_nb100_150km_2yrgp","mp23bpa_nb100_150km_2yrgp","pp34_alfa_c_nb100_150km_2yrgp","n12s_nb100_150km_2yrgp","pp2acgm_nb100_150km_2yrgp","pp2bt_nb100_150km_2yrgp","a4is_nb100_150km_2yrgp","k2sn_nb100_150km_2yrgp","a3_gamma_rm_nb100_150km_2yrgp","pp3_alfa_i_nb100_150km_2yrgp","mp23bit_nb100_150km_2yrgp","mp1_gamma_fo_nb100_150km_2yrgp","mp1_gamma_rc_nb100_150km_2yrgp","pp3t_nb100_150km_2yrgp","pp4na_nb100_150km_2yrgp","np1_gamma_ro_nb100_150km_2yrgp","pp2_gamma_p4_nb100_150km_2yrgp","a3xi_nb100_150km_2yrgp","pp2_gamma_t_nb100_150km_2yrgp","pp2_gamma_c1_nb100_150km_2yrgp","pp3_gamma_ma_nb100_150km_2yrgp","mp3f_nb100_150km_2yrgp","c_pii_nb100_150km_2yrgp","q1p1_nb100_150km_2yrgp","o3d1t_nb100_150km_2yrgp","n_pcu3_nb100_150km_2yrgp","n_pcu5_nb100_150km_2yrgp","mp2d7_nb100_150km_2yrgp","pp4_gamma_nc1_nb100_150km_2yrgp","pp34_gamma_tp_nb100_150km_2yrgp","n_pcu6_nb100_150km_2yrgp","mp2_gamma_lc_nb100_150km_2yrgp","pp2iv_nb100_150km_2yrgp","qfm_nb100_150km_2yrgp","n1r_nb100_150km_2yrgp","pp2_gamma_i_nb100_150km_2yrgp","pp3_alfa_sa_nb100_150km_2yrgp","pp2ip_nb100_150km_2yrgp","q1t_nb100_150km_2yrgp","pp23_gamma_g_nb100_150km_2yrgp","a3mp_nb100_150km_2yrgp","pp34_gamma_ju_nb100_150km_2yrgp","pp23ac_nb100_150km_2yrgp","mp3_gamma_frp_nb100_150km_2yrgp","s_dats_nb100_150km_2yrgp","pp2p_nb100_150km_2yrgp","pp3_gamma_m4_nb100_150km_2yrgp","pp4mp1rg_nb100_150km_2yrgp","mp1pl_nb100_150km_2yrgp","pop","malaria_allpop_api"
0.999940642517087,"110004",2006,0,0,0,0,393304.393665317,0,0,0,0,0,0,0,0,1414991.04767708,0,0,0,2053015.14484715,835876.32260417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.25590446592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520826.802243209,0,0,0,0,0,76422,1.2038418256523
0.96751500463867,"110004",2007,0,0,0,0,488721.435920353,0,0,0,0,0,0,0,0,1758272.89949791,0,0,0,2551083.90782366,1038662.88608654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.566508510464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647181.2335631,0,0,0,0,0,76155,0.498982338651435
0.914932600341795,"110004",2008,0,0,0,0,588792.968025976,0,0,0,0,0,0,0,0,2118300.20744932,0,0,0,3073448.70793756,1251341.47702288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.282507866238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779699.295658541,0,0,0,0,0,78263,0.370545468484469
0.897405297180174,"110004",2009,0,0,0,0,691191.745075599,0,0,0,0,0,0,0,0,2486700.24353332,0,0,0,3607961.5267178,1468966.08172597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.201204887294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915299.173166528,0,0,0,0,0,78675,0.305052430886559
0.882507407043456,"110004",2010,0,0,0,0,823844.706210156,0,0,0,0,0,0,0,0,2963945.74466794,0,0,0,4300398.58718403,1750888.86499918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.754971460344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090962.65078991,0,0,0,0,0,78574,0.279990836663527
0.872867384521483,"110004",2011,0,0,0,0,1048423.84233339,0,0,0,0,0,0,0,0,3771914.0059629,0,0,0,5472682.38340839,2228179.19142268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.81529565735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388357.83681252,0,0,0,0,0,78959,0.113983206474246
0.867609103637694,"110004",2012,0,0,0,0,1214821.85523076,0,0,0,0,0,0,0,0,4370564.06528918,0,0,0,6341265.71492711,2581819.17447268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627.808178415652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608707.6380169,0,0,0,0,0,79330,0.163872431614774
0.847452430114745,"110004",2013,0,0,0,0,1155477.1092336,0,0,0,0,0,0,0,0,4157059.49817747,0,0,0,6031491.23932603,2455695.82357974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.139387989636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530121.34509606,0,0,0,0,0,85863,0.0582323002923262
0.832553863708495,"110004",2014,0,0,0,0,1004206.18862188,0,0,0,0,0,0,0,0,3612832.17225136,0,0,0,5241870.02991965,2134204.93033161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.964040133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329803.3442714,0,0,0,0,0,86556,0.0231064282083276
0.816779286132812,"110004",2015,0,0,0,0,909952.76883884,0,0,0,0,0,0,0,0,3273736.68449681,0,0,0,4749875.27627631,1933891.37373261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.254784921097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204989.82065778,0,0,0,0,0,87226,0
