"gold_mining_area_nb250_300km","cd_mun","year","k12it_nb250_300km_2yrgp","pp3_alfa_i_nb250_300km_2yrgp","elm_nb250_300km_2yrgp","q1i_nb250_300km_2yrgp","e1n1ac_nb250_300km_2yrgp","q1p2_nb250_300km_2yrgp","n_qi_nb250_300km_2yrgp","pp4_gamma_sr_nb250_300km_2yrgp","a3_gamma_ms_nb250_300km_2yrgp","n_pct_nb250_300km_2yrgp","pp3_gamma_p_nb250_300km_2yrgp","a4pp1nv_nb250_300km_2yrgp","dc_nb250_300km_2yrgp","a3s_nb250_300km_2yrgp","ap_pi_nb250_300km_2yrgp","np3fcb_nb250_300km_2yrgp","a3xi_nb250_300km_2yrgp","q2a_nb250_300km_2yrgp","pp4r_nb250_300km_2yrgp","pp3_gamma_2i_nb250_300km_2yrgp","pp3ruc_nb250_300km_2yrgp","a4jg_nb250_300km_2yrgp","q2a1_nb250_300km_2yrgp","pp23ur_nb250_300km_2yrgp","q2pa_nb250_300km_2yrgp","pp3_gamma_1i_nb250_300km_2yrgp","pp2_gamma_ca_nb250_300km_2yrgp","np12x_nb250_300km_2yrgp","pp3_alfa_su_nb250_300km_2yrgp","c_pii_nb250_300km_2yrgp","pp3_alfa_sa_nb250_300km_2yrgp","a3_gamma_xg_nb250_300km_2yrgp","a3_gamma_rm_nb250_300km_2yrgp","e_nb_nb250_300km_2yrgp","pp4ja_nb250_300km_2yrgp","mp23bpa_nb250_300km_2yrgp","pp34cb1_nb250_300km_2yrgp","s_dat_nb250_300km_2yrgp","a4is_nb250_300km_2yrgp","pp4_gamma_jsp_nb250_300km_2yrgp","k2sn_nb250_300km_2yrgp","pp34_alfa_c_nb250_300km_2yrgp","a3av_nb250_300km_2yrgp","a4gu_nb250_300km_2yrgp","pp2_gamma_bj_nb250_300km_2yrgp","mp1_gamma_fo_nb250_300km_2yrgp","k2ut_nb250_300km_2yrgp","pp34_delta_mi_nb250_300km_2yrgp","pp3_gamma_ml_nb250_300km_2yrgp","pp2bt_nb250_300km_2yrgp","pp3_gamma_cz_nb250_300km_2yrgp","pp4ct1_nb250_300km_2yrgp","n1dl_nb250_300km_2yrgp","pp3t_nb250_300km_2yrgp","mp23b_nb250_300km_2yrgp","pp3_alfa_so_nb250_300km_2yrgp","mp1_gamma_p_nb250_300km_2yrgp","pp3_gamma_1tr_nb250_300km_2yrgp","pp23go_nb250_300km_2yrgp","pp2_gamma_c1_nb250_300km_2yrgp","pp23ac_nb250_300km_2yrgp","pp3_gamma_3pp_nb250_300km_2yrgp","n_pcu3_nb250_300km_2yrgp","pp3_gamma_ma_nb250_300km_2yrgp","qfm_nb250_300km_2yrgp","mp2_gamma_ac_nb250_300km_2yrgp","mp23bit_nb250_300km_2yrgp","a4_gamma_2pq_nb250_300km_2yrgp","n12s_nb250_300km_2yrgp","pp3bu_nb250_300km_2yrgp","pp2_gamma_t_nb250_300km_2yrgp","pp3_alfa_ar_nb250_300km_2yrgp","a3tu_nb250_300km_2yrgp","pp3pa1_nb250_300km_2yrgp","mp3f_nb250_300km_2yrgp","pp34cb2_nb250_300km_2yrgp","o3d1t_nb250_300km_2yrgp","a3mp_nb250_300km_2yrgp","pp2_gamma_i_nb250_300km_2yrgp","pp2ip_nb250_300km_2yrgp","pop","malaria_allpop_api"
10.8302062756348,"110003",2013,0,0,0,0,0,0,1922110.08507012,0,0,0,0,0,0,0,0,11048395.6474525,0,540748.983293966,10844926.6316098,0,0,0,0,0,2584589.16647717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6447671.09305227,0,0,0,0,5755258.73977486,3237762.55722768,0,0,0,0,0,2430156.93851816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038320.358178,0,0,0,0,0,6495,0.153964588144727
10.7706358406982,"110003",2014,0,0,0,0,0,0,1670474.32373643,0,0,0,0,0,0,0,0,9601979.29916041,0,469956.065053474,9425147.7174101,0,0,0,0,0,2246224.01887557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5603565.10925258,0,0,0,0,5001800.89888185,2813886.29101685,0,0,0,0,0,2112009.50454221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902387.17939295,0,0,0,0,0,6424,0
10.7991143097534,"110003",2015,0,0,0,0,0,0,1513685.8877998,0,0,0,0,0,0,0,0,8700750.65121332,0,425846.631372471,8540516.23993901,0,0,0,0,0,2035396.50379287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5077622.15001951,0,0,0,0,4532338.70562406,2549778.7712525,0,0,0,0,0,1913779.18025934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817690.352595978,0,0,0,0,0,6355,0
10.7689108900146,"110003",2016,0,0,0,0,0,0,1504007.58923909,0,0,0,0,0,0,0,0,8645119.25292692,0,423123.826811292,8485909.35835354,0,0,0,0,0,2022382.45958998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5045156.5350974,0,0,0,0,4503359.55775406,2533475.83785606,0,0,0,0,0,1901542.74043051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812462.153386078,0,0,0,0,0,6289,0.477023374145333
10.8103355187378,"110003",2017,0,0,0,0,0,0,1564013.040191,0,0,0,0,0,0,0,0,8990033.92158717,0,440005.215055586,8824472.0234812,0,0,0,0,0,2103069.53348056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5246443.34719696,0,0,0,0,4683030.27417534,2634554.02470432,0,0,0,0,0,1977408.66721189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844876.988420225,0,0,0,0,0,6224,0.160668380462725
10.8836810358276,"110003",2018,0,0,0,0,0,0,1575626.99833938,0,0,0,0,0,0,0,0,9056791.59881542,0,443272.580493984,8890000.28068151,0,0,0,0,0,2118686.38635666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5285402.08468597,0,0,0,0,4717805.25124665,2654117.54457039,0,0,0,0,0,1992092.39484912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851150.827404869,0,0,0,0,0,5438,0.183891136447223
11.4938173682861,"110003",2019,0,0,0,0,0,0,1660796.02517573,0,0,0,0,0,0,0,0,9546347.90087401,0,467233.260492295,9370540.83582463,0,0,0,0,0,2233209.97467268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5571099.49433047,0,0,0,0,4972821.75101186,2797583.35762041,0,0,0,0,0,2099773.06471338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897158.980183049,0,0,0,0,0,5312,0.188253012048193
0.00263827331542968,"110004",2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51014.1640786633,113449.283705666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26526.1516375765,0,0,0,0,0,0,0,0,1171410.29439644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74758,0.321035875759116
0.00263827331542968,"110004",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58536.9901157886,130179.131989334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30437.8422005382,0,0,0,0,0,0,0,0,1344152.82624022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76417,1.62267558265831
0.00263827331542968,"110004",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64649.2862714252,143772.133720865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33616.0907831903,0,0,0,0,0,0,0,0,1484506.13337413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75988,0.81591830288993
