"gold_mining_area_nb50_100km","cd_mun","year","k12it_nb50_100km_2yrgp","e1n1ac_nb50_100km_2yrgp","n_pct_nb50_100km_2yrgp","elm_nb50_100km_2yrgp","q1p2_nb50_100km_2yrgp","e_nb_nb50_100km_2yrgp","n_qi_nb50_100km_2yrgp","np12x_nb50_100km_2yrgp","q1i_nb50_100km_2yrgp","q2pa_nb50_100km_2yrgp","pp4ja_nb50_100km_2yrgp","q2a_nb50_100km_2yrgp","pp4_gamma_jsp_nb50_100km_2yrgp","a3tu_nb50_100km_2yrgp","mp2_gamma_ac_nb50_100km_2yrgp","k2ut_nb50_100km_2yrgp","a3_gamma_ms_nb50_100km_2yrgp","a4pp1nv_nb50_100km_2yrgp","pp2acgm_nb50_100km_2yrgp","a4gu_nb50_100km_2yrgp","pp4_gamma_sr_nb50_100km_2yrgp","n1dl_nb50_100km_2yrgp","a3xi_nb50_100km_2yrgp","pp34_alfa_c_nb50_100km_2yrgp","pp4na_nb50_100km_2yrgp","a3s_nb50_100km_2yrgp","pp2_gamma_t_nb50_100km_2yrgp","pp3_alfa_i_nb50_100km_2yrgp","np3fcb_nb50_100km_2yrgp","pp3t_nb50_100km_2yrgp","a3_gamma_xg_nb50_100km_2yrgp","pp2_gamma_p4_nb50_100km_2yrgp","a3_gamma_rm_nb50_100km_2yrgp","a3av_nb50_100km_2yrgp","pp2_gamma_c1_nb50_100km_2yrgp","mp1_gamma_p_nb50_100km_2yrgp","n_pcu3_nb50_100km_2yrgp","pp34mv_nb50_100km_2yrgp","mp3f_nb50_100km_2yrgp","mp1_gamma_rc_nb50_100km_2yrgp","np1_gamma_ro_nb50_100km_2yrgp","n1r_nb50_100km_2yrgp","a4gnl_nb50_100km_2yrgp","mp1pl_nb50_100km_2yrgp","pp2iv_nb50_100km_2yrgp","mp2d7_nb50_100km_2yrgp","qfm_nb50_100km_2yrgp","pp2_gamma_acgr_nb50_100km_2yrgp","pp34_gamma_ju_nb50_100km_2yrgp","pp4_gamma_nc1_nb50_100km_2yrgp","a4is_nb50_100km_2yrgp","pp2bt_nb50_100km_2yrgp","pp4r_nb50_100km_2yrgp","q1p1_nb50_100km_2yrgp","o3d1t_nb50_100km_2yrgp","pp2p_nb50_100km_2yrgp","n_pcu5_nb50_100km_2yrgp","k2u_nb50_100km_2yrgp","n_pcu6_nb50_100km_2yrgp","pp34_gamma_jpa_nb50_100km_2yrgp","mp3mc_nb50_100km_2yrgp","pp4mp1rg_nb50_100km_2yrgp","a3mp_nb50_100km_2yrgp","d23p_nb50_100km_2yrgp","pp3_gamma_m4_nb50_100km_2yrgp","pp4sb_nb50_100km_2yrgp","pp2_gamma_p2_nb50_100km_2yrgp","qfpl_nb50_100km_2yrgp","pp1ro_nb50_100km_2yrgp","pp2_gamma_ci_nb50_100km_2yrgp","ssgg_nb50_100km_2yrgp","pp23_gamma_g_nb50_100km_2yrgp","pp2vnbs_nb50_100km_2yrgp","mp3_gamma_frp_nb50_100km_2yrgp","pp2ia_nb50_100km_2yrgp","pp2_gamma_pv_nb50_100km_2yrgp","pp34_gamma_tp_nb50_100km_2yrgp","a4_gamma_2pq_nb50_100km_2yrgp","pp2_gamma_i_nb50_100km_2yrgp","mp3_gamma_sc_nb50_100km_2yrgp","pop","malaria_allpop_api"
0,"110013",2006,0,0,0,0,0,0,0,0,0,0,429966.993276556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129120.376773055,0,0,0,0,109621.212016027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236352.087915583,29711,273.299451381643
0,"110013",2007,0,0,0,0,0,0,0,0,0,0,534278.512360808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160445.438595336,0,0,0,0,136215.707240207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293691.943566669,31475,165.623510722796
0,"110013",2008,0,0,0,0,0,0,0,0,0,0,643678.3982127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193298.552208734,0,0,0,0,164107.494910024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353828.865337754,32214,95.0207984106289
0,"110013",2009,0,0,0,0,0,0,0,0,0,0,755622.467468861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226915.69172383,0,0,0,0,192647.928807873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415364.32018008,33159,93.6698935432311
0,"110013",2010,0,0,0,0,0,0,0,0,0,0,900640.920776028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270465.167899605,0,0,0,0,229620.763618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495080.704836125,31135,97.1575397462663
0,"110013",2011,0,0,0,0,0,0,0,0,0,0,1146154.61822464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344193.667094241,0,0,0,0,292215.124351969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630039.145626323,31780,67.7784770295784
0,"110013",2012,0,0,0,0,0,0,0,0,0,0,1328063.7309755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398821.518869217,0,0,0,0,338593.329489412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730034.259860323,32403,42.2183131191556
0,"110013",2013,0,0,0,0,0,0,0,0,0,0,1263187.05424844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379338.858400453,0,0,0,0,322052.850695454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694371.666588649,35633,20.9075856649735
0,"110013",2014,0,0,0,0,0,0,0,0,0,0,1097815.13378891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329677.175035649,0,0,0,0,279890.846081926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603467.017407642,36412,8.78831154564429
0,"110013",2015,0,0,0,0,0,0,0,0,0,0,994775.706406798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298734.126164217,0,0,0,0,253620.673971762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546826.428292176,37167,17.2195765060403
0,"110013",2016,0,0,0,0,0,0,0,0,0,0,988415.247896125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296824.06140997,0,0,0,0,251999.058401682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543330.095614074,37899,31.9005778516584
0.0070532974243164,"110013",2017,0,0,0,0,0,0,0,0,0,0,1027850.0905805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308666.462861742,0,0,0,0,262053.074915322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565007.358173341,38609,18.1822891035769
0.0123432828979492,"110013",2018,0,0,0,0,0,0,0,0,0,0,1035482.64071151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310958.540542276,0,0,0,0,263999.013578563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569202.9573421,39097,8.61958718060209
0.0132249450073242,"110013",2019,0,0,0,0,0,0,0,0,0,0,1091454.67527824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327767.110281401,0,0,0,0,278269.230511847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599970.68472954,39991,9.60216048610938
0.79662521105957,"110018",2003,0,0,0,0,0,0,252506.075226763,0,0,0,0,0,0,0,0,1318060.01904873,0,0,0,0,0,0,0,0,0,0,0,0,908440.998078407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536642.491147362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334376.97067592,0,0,0,0,0,0,31612,0.442869796279894
0.97715433703613,"110018",2004,0,0,0,0,0,0,289741.994143695,0,0,0,0,0,0,0,0,1512428.31673374,0,0,0,0,0,0,0,0,0,0,0,0,1042404.64752679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615778.71101771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383686.017028949,0,0,0,0,0,0,31416,2.25999490705373
1.07793831909179,"110018",2005,0,0,0,0,0,0,319996.178266041,0,0,0,0,0,0,0,0,1670352.55861502,0,0,0,0,0,0,0,0,0,0,0,0,1151250.11271201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680076.889667337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423749.617193882,0,0,0,0,0,0,31466,2.92379075827878
0.999940642517087,"110018",2006,0,0,0,0,0,0,393304.393665317,0,0,0,0,0,0,0,0,2053015.14484715,0,0,0,0,0,0,0,0,0,0,0,0,1414991.04767708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835876.32260417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520826.802243209,0,0,0,0,0,0,31415,1.68709215342989
0.96751500463867,"110018",2007,0,0,0,0,0,0,488721.435920353,0,0,0,0,0,0,0,0,2551083.90782366,0,0,0,0,0,0,0,0,0,0,0,0,1758272.89949791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038662.88608654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647181.2335631,0,0,0,0,0,0,32893,0.425622472866567
0.914932600341795,"110018",2008,0,0,0,0,0,0,588792.968025976,0,0,0,0,0,0,0,0,3073448.70793756,0,0,0,0,0,0,0,0,0,0,0,0,2118300.20744932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251341.47702288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779699.295658541,0,0,0,0,0,0,33803,0.709996154187498
0.897405297180174,"110018",2009,0,0,0,0,0,0,691191.745075599,0,0,0,0,0,0,0,0,3607961.5267178,0,0,0,0,0,0,0,0,0,0,0,0,2486700.24353332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468966.08172597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915299.173166528,0,0,0,0,0,0,33984,3.03083804143126
0.882507407043456,"110018",2010,0,0,0,0,0,0,823844.706210156,0,0,0,0,0,0,0,0,4300398.58718403,0,0,0,0,0,0,0,0,0,0,0,0,2963945.74466794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750888.86499918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090962.65078991,0,0,0,0,0,0,33822,1.12352906392289
