level,q_label,n_candidates,n_rlasso,n_after_screen,instruments,coef,se,ci_lo,ci_hi,fstat,pval
mu,q50,301,5,3,pp3cc_2yrgp + pp3_gamma_pgc_2yrgp + p_zi_2yrgp,0.4572264004637217,0.12485973511034153,0.2125013196474523,0.7019514812799911,991.246645628919,3.0367429035512794e-4
mu,q55,271,4,3,pp3cc_2yrgp + pp3_gamma_pgc_2yrgp + p_zi_2yrgp,0.4572264004637217,0.12485973511034153,0.2125013196474523,0.7019514812799911,991.246645628919,3.0367429035512794e-4
mu,q60,241,3,1,pp3cc_2yrgp,0.5716785782179749,0.2620137116096147,0.058131703463130124,1.0852254529728196,1866.4306260233923,0.030022046754192948
mu,dropzeros,528,9,4,pp3_delta_inc_2yrgp + pp3_gamma_mlp_2yrgp + pp3_gamma_pgc_2yrgp + p_zi_2yrgp,0.4465550899431179,0.11637524653448816,0.2184596067355211,0.6746505731507146,663.4512494191072,1.565548425159228e-4
dsei,q00,546,9,6,mp3_delta_cs_2yrgp + pp3_alfa_bj_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp + pp3_delta_inij_2yrgp + pp3_delta_inj_2yrgp,0.499680762099345,0.19639035630942975,0.11475566373286267,0.8846058604658273,129.40075510188498,0.012404087339736157
dsei,q05,433,9,6,mp3_delta_cs_2yrgp + pp3_alfa_bj_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp + pp3_delta_inij_2yrgp + pp3_delta_inj_2yrgp,0.499680762099345,0.19639035630942975,0.11475566373286267,0.8846058604658273,129.40075510188498,0.012404087339736157
dsei,q10,433,9,6,mp3_delta_cs_2yrgp + pp3_alfa_bj_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp + pp3_delta_inij_2yrgp + pp3_delta_inj_2yrgp,0.499680762099345,0.19639035630942975,0.11475566373286267,0.8846058604658273,129.40075510188498,0.012404087339736157
dsei,q15,433,9,6,mp3_delta_cs_2yrgp + pp3_alfa_bj_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp + pp3_delta_inij_2yrgp + pp3_delta_inj_2yrgp,0.499680762099345,0.19639035630942975,0.11475566373286267,0.8846058604658273,129.40075510188498,0.012404087339736157
dsei,q20,433,9,6,mp3_delta_cs_2yrgp + pp3_alfa_bj_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp + pp3_delta_inij_2yrgp + pp3_delta_inj_2yrgp,0.499680762099345,0.19639035630942975,0.11475566373286267,0.8846058604658273,129.40075510188498,0.012404087339736157
dsei,q25,409,8,5,mp3_delta_cs_2yrgp + pp3_alfa_bj_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp + pp3_delta_inj_2yrgp,0.5326137843041924,0.21885815761385488,0.1036517953810368,0.961575773227348,155.52173246180618,0.016637838929897054
dsei,q30,382,7,4,mp3_delta_cs_2yrgp + pp3_alfa_bj_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp,0.5172001556956439,0.2075672089085143,0.11036842623495591,0.924031885156332,194.8402293755819,0.014277217134260207
dsei,q35,355,7,4,mp3_delta_cs_2yrgp + pp3_alfa_bj_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp,0.5172001556956439,0.2075672089085143,0.11036842623495591,0.924031885156332,194.8402293755819,0.014277217134260207
dsei,q40,327,6,4,mp3_delta_cs_2yrgp + pp3_alfa_bj_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp,0.5172001556956439,0.2075672089085143,0.11036842623495591,0.924031885156332,194.8402293755819,0.014277217134260207
dsei,q45,300,6,4,mp3_delta_cs_2yrgp + pp3_alfa_bj_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp,0.5172001556956439,0.2075672089085143,0.11036842623495591,0.924031885156332,194.8402293755819,0.014277217134260207
dsei,q50,273,4,3,mp3_delta_cs_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp,0.5156153429889273,0.20648794926333336,0.1108989624327939,0.9203317235450608,259.9348372992371,0.014075815435983342
dsei,q55,246,3,3,mp3_delta_cs_2yrgp + pp3_delta_in_2yrgp + c2i_2yrgp,0.5156153429889273,0.20648794926333336,0.1108989624327939,0.9203317235450608,259.9348372992371,0.014075815435983342
