year,cd_mun,Chronic_resp,Ulcer,Tuberculosis,Dermatitis,Accidents,STD,Pneumonia,HIV,Diabetes
2003,150770,1,0,2,0,0,0,19,0,0
2003,150775,4,6,0,0,0,1,22,0,0
2003,150780,16,2,0,0,0,0,48,0,2
2003,150790,53,2,1,0,0,0,222,0,12
2003,150795,1,3,2,0,0,0,207,2,16
2003,150796,0,0,0,0,0,0,21,0,0
2003,150797,2,2,0,0,0,0,14,0,2
2003,150800,4,2,4,0,0,1,117,1,10
2003,150803,8,9,0,0,0,0,276,0,4
2003,150805,1,1,0,0,0,0,5,0,0
2003,150808,99,25,2,0,0,0,365,1,4
2003,150810,17,20,2,0,0,2,391,3,20
2003,150812,94,4,0,0,0,0,1002,0,39
2003,150815,118,13,0,0,0,1,311,0,29
2003,150820,16,7,3,0,0,3,132,1,20
2003,150830,9,16,1,1,0,0,159,0,8
2003,150835,21,9,0,0,0,0,79,0,4
2003,150840,66,33,2,0,0,1,310,2,5
2003,160005,1,1,0,0,0,0,6,0,0
2003,160010,0,2,1,0,0,0,3,0,0
2003,160015,0,0,0,0,0,0,4,0,0
2003,160020,1,0,0,0,0,0,5,0,0
2003,160021,0,0,0,0,0,0,5,0,0
2003,160023,2,0,0,0,0,0,5,0,1
2003,160025,0,0,0,0,0,0,7,0,0
2003,160027,4,11,3,0,0,0,174,0,8
2003,160030,88,124,32,4,0,49,1170,28,130
2003,160040,2,2,2,0,0,2,27,0,0
2003,160050,0,1,2,0,0,1,4,1,1
2003,160053,10,4,1,0,0,0,114,2,8
2003,160055,0,0,0,0,0,0,2,0,0
2003,160060,25,24,6,0,0,18,460,4,25
2003,160070,0,2,0,0,0,0,12,0,1
2003,160080,0,1,0,0,0,0,42,0,3
2003,170025,3,0,0,0,0,0,7,0,0
2003,170030,2,0,0,0,0,0,36,0,0
2003,170035,1,1,0,0,0,0,7,0,0
2003,170040,1,6,0,0,0,0,28,0,0
2003,170070,0,0,0,0,0,0,5,0,1
2003,170100,7,0,1,0,0,0,139,0,1
2003,170105,1,0,0,0,0,0,21,0,2
2003,170110,2,2,0,0,0,0,4,0,0
2003,170130,0,2,1,0,0,1,22,1,1
2003,170190,0,0,0,0,0,0,8,0,0
2003,170200,38,7,0,0,0,0,144,0,5
2003,170210,52,28,14,2,0,37,493,29,71
2003,170215,2,0,0,0,0,0,17,0,2
2003,170220,10,23,1,0,0,0,216,3,23
2003,170230,43,0,1,0,0,3,60,0,5
2003,170240,3,5,0,0,0,1,228,0,8
2003,170255,9,7,1,0,0,0,255,0,23
2003,170270,0,0,0,0,0,0,18,0,0
2003,170290,8,4,0,0,0,0,104,1,10
2003,170300,2,2,0,0,0,1,11,0,1
2003,170305,1,1,0,0,0,0,6,0,0
2003,170307,2,1,0,0,0,1,9,2,1
2003,170310,1,5,0,0,0,0,19,0,0
2003,170320,1,0,0,0,0,0,16,0,2
2003,170330,4,2,0,0,0,0,12,1,0
2003,170360,1,0,0,0,0,0,13,1,1
2003,170370,4,1,0,0,0,0,58,0,10
2003,170380,0,0,0,0,0,0,26,0,3
2003,170382,1,0,0,0,0,0,2,0,0
2003,170384,1,0,0,0,0,0,8,0,0
2003,170386,0,0,0,0,0,0,3,0,1
2003,170388,1,3,1,0,0,0,8,0,0
2003,170389,1,1,0,0,0,0,47,0,8
2003,170390,4,0,0,0,0,0,13,0,0
2003,170410,0,0,0,0,0,0,5,0,1
2003,170460,0,0,0,0,0,0,12,0,0
2003,170510,1,0,0,0,0,0,16,0,0
2003,170550,26,17,1,3,0,1,266,0,31
2003,170555,2,2,0,0,0,0,34,0,1
2003,170560,0,0,0,0,0,0,7,0,0
2003,170600,2,3,2,0,0,0,11,0,0
2003,170610,16,31,0,1,0,0,40,0,3
2003,170625,1,0,0,0,0,0,3,0,5
2003,170650,2,0,0,0,0,0,35,0,1
2003,170700,5,36,0,0,0,0,344,0,6
2003,170710,2,0,1,1,0,0,34,0,1
2003,170720,2,0,0,0,0,0,2,0,0
2003,170730,15,2,0,0,0,0,80,0,3
2003,170740,1,2,0,0,0,0,42,0,5
2003,170755,0,2,0,0,0,0,9,0,1
2003,170765,12,2,0,0,0,0,57,0,1
2003,170770,3,1,0,0,0,1,13,0,4
2003,170820,9,4,0,0,0,0,79,0,6
2003,170825,0,1,0,0,0,0,13,0,0
2003,170830,4,0,0,0,0,0,5,1,0
2003,170900,2,2,5,0,0,1,106,2,5
2003,170930,29,51,1,2,0,0,361,6,4
2003,170950,30,42,0,1,0,2,602,0,61
2003,170980,0,1,0,0,0,0,10,0,3
2003,171050,1,1,2,0,0,0,19,0,2
2003,171070,0,1,0,0,0,0,167,0,1
2003,171090,1,1,0,0,0,0,12,0,2
2003,171110,2,0,0,0,0,0,4,0,0
2003,171150,0,0,0,0,0,0,5,0,0
2003,171180,1,2,0,1,0,0,3,0,1
2003,171190,2,6,0,0,0,0,15,0,0
2003,171195,0,0,0,0,0,0,5,0,0
2003,171200,0,2,0,0,0,0,6,0,0
2003,171215,0,0,0,0,0,0,3,0,0
2003,171240,1,1,0,0,0,0,3,0,2
2003,171245,0,0,0,0,0,0,11,0,0
2003,171250,0,3,0,0,0,0,9,0,0
2003,171270,1,0,0,0,0,0,1,0,0
2003,171280,0,0,0,0,0,0,10,0,0
2003,171320,43,8,0,2,0,0,359,0,17
2003,171330,48,15,0,0,0,0,196,0,3
2003,171360,0,1,0,0,0,0,17,0,0
2003,171370,1,0,0,0,0,0,27,0,0
2003,171380,0,1,0,0,0,0,30,0,0
2003,171395,2,2,0,0,0,0,7,0,4
2003,171420,1,2,0,0,0,0,134,0,7
2003,171430,0,1,1,0,0,0,41,0,2
2003,171488,2,1,0,1,0,2,19,0,0
2003,171500,4,2,0,0,0,0,12,0,0
2003,171510,2,0,0,0,0,0,5,0,0
2003,171515,0,0,0,0,0,0,3,0,0
2003,171525,0,1,0,0,0,0,18,0,1
2003,171550,0,0,0,0,0,0,3,0,0
2003,171570,2,2,0,0,0,1,9,0,0
2003,171575,4,0,0,0,0,0,5,0,1
2003,171610,45,16,0,0,0,6,784,5,27
2003,171620,0,0,0,0,0,0,19,0,4
2003,171630,6,0,0,0,0,2,4,0,2
2003,171650,10,8,0,0,0,3,70,0,14
